$atleast,>d,$done_percent,<ep,$learning_curve,<np,$nprod,$optimism,$pomposity,$productivity_exp,$productivity_new,$r,$to,$ts,>dom
1.83,0.36,8.29,5,67.06,29,8.68,41.14,73.08,2.87,0.29,500.23,88.6,16.45,0
1.83,100,8.29,5.43,67.06,28.57,8.68,41.14,73.08,2.87,0.29,400.23,88.6,16.45,0.41
6.22,0.4,8.89,7,76.38,18,0.66,35.54,94.12,1.47,0.55,978.29,37.67,60.95,0.03
6.22,13.73,8.89,7.24,76.38,17.76,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.13
6.22,13.73,8.89,7.47,76.38,17.53,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.08
6.22,13.73,8.89,7.7,76.38,17.3,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.09
6.22,13.73,8.89,7.93,76.38,17.07,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.08
6.22,13.73,8.89,8.16,76.38,16.84,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.12
6.22,13.73,8.89,8.38,76.38,16.62,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.09
6.22,13.73,8.89,8.6,76.38,16.4,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.12
6.22,13.73,8.89,8.82,76.38,16.18,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.1
6.22,13.73,8.89,9.04,76.38,15.96,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.09
6.22,13.73,8.89,9.25,76.38,15.75,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.13
6.22,13.73,8.89,9.46,76.38,15.54,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.09
6.22,13.73,8.89,9.66,76.38,15.34,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.13
6.22,13.73,8.89,9.87,76.38,15.13,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.09
6.22,13.73,8.89,10.07,76.38,14.93,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.08
6.22,13.73,8.89,10.27,76.38,14.73,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.04
6.22,13.73,8.89,10.46,76.38,14.54,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.09
6.22,13.73,8.89,10.65,76.38,14.35,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.07
6.22,13.73,8.89,10.84,76.38,14.16,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.12
6.22,13.73,8.89,11.03,76.38,13.97,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.07
6.22,13.73,8.89,11.22,76.38,13.78,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.11
6.22,13.73,8.89,11.4,76.38,13.6,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.1
6.22,13.73,8.89,11.58,76.38,13.42,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.11
6.22,13.73,8.89,11.76,76.38,13.24,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.18
6.22,13.73,8.89,11.93,76.38,13.07,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.11
6.22,13.73,8.89,12.11,76.38,12.89,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.13
6.22,13.73,8.89,12.28,76.38,12.72,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.06
6.22,13.73,8.89,12.45,76.38,12.55,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.08
6.22,13.73,8.89,12.61,76.38,12.39,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.11
6.22,13.73,8.89,12.78,76.38,12.22,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.1
