?t, $atleast, >d, $done_percent, <ep, $learning_curve, <np, $nprod, $optimism, $pomposity, $productivity_exp, $productivity_new, $r, $to, $ts, ?verbose
0, 8.85, 0.16, 4.11, 5, 29.93, 7, 5.05, 66.76, 99.64, 8.8, 0.18, 731.07, 83.07, 36.95, 1.0
1, 8.85, 100, 4.11, 5.23, 29.93, 6.77, 5.05, 66.76, 99.64, 8.8, 0.18, 631.07, 83.07, 36.95, 1.0
0, 3.7, 0.61, 3.55, 7, 55.32, 2, 9.78, 76.16, 61.33, 1.51, 0.62, 941.25, 88.97, 40.8, 1.0
1, 3.7, 100, 3.55, 7.04, 55.32, 1.96, 9.78, 76.16, 61.33, 1.51, 0.62, 841.25, 88.97, 40.8, 1.0
0, 8.95, 0.96, 6.08, 9, 95.12, 29, 4.55, 96.5, 92.2, 6.17, 0.35, 480.38, 46.39, 57.16, 1.0
1, 8.95, 100, 6.08, 9.3, 95.12, 28.7, 4.55, 96.5, 92.2, 6.17, 0.35, 380.38, 46.39, 57.16, 1.0
0, 2.76, 0.83, 1.12, 2, 47.06, 19, 4.54, 45.8, 23.23, 8.82, 0.95, 928.72, 28.09, 70.54, 1.0
1, 2.76, 100, 1.12, 2.4, 47.06, 18.6, 4.54, 45.8, 23.23, 8.82, 0.95, 828.72, 28.09, 70.54, 1.0
0, 0.58, 0.18, 5.16, 9, 18.23, 17, 8.91, 4.88, 32.77, 7.41, 0.37, 727.26, 45.74, 58.59, 1.0
1, 0.58, 100, 5.16, 9.93, 18.23, 16.07, 8.91, 4.88, 32.77, 7.41, 0.37, 627.26, 45.74, 58.59, 1.0
0, 5.1, 0.02, 5.46, 7, 72.0, 22, 7.38, 66.7, 50.79, 8.58, 0.26, 268.82, 28.79, 10.82, 1.0
1, 5.1, 100, 5.46, 7.31, 72.0, 21.69, 7.38, 66.7, 50.79, 8.58, 0.26, 168.82, 28.79, 10.82, 1.0
0, 6.31, 0.0, 2.74, 2, 68.77, 9, 6.93, 8.99, 18.19, 9.6, 0.47, 502.39, 39.3, 97.21, 1.0
1, 6.31, 100, 2.74, 2.13, 68.77, 8.87, 6.93, 8.99, 18.19, 9.6, 0.47, 402.39, 39.3, 97.21, 1.0
0, 7.33, 0.35, 1.79, 3, 87.5, 19, 7.24, 25.67, 11.83, 8.15, 0.59, 715.64, 93.27, 86.99, 1.0
1, 7.33, 100, 1.79, 3.22, 87.5, 18.78, 7.24, 25.67, 11.83, 8.15, 0.59, 615.64, 93.27, 86.99, 1.0
0, 8.63, 0.37, 8.44, 8, 6.46, 27, 8.01, 68.8, 88.57, 9.48, 0.71, 752.54, 11.48, 93.45, 1.0
1, 8.63, 100, 8.44, 12.18, 6.46, 22.82, 8.01, 68.8, 88.57, 9.48, 0.71, 652.54, 11.48, 93.45, 1.0
0, 5.39, 0.93, 6.43, 7, 68.95, 14, 6.66, 54.53, 23.5, 7.57, 0.91, 113.6, 83.22, 79.95, 1.0
1, 5.39, 100, 6.43, 7.2, 68.95, 13.8, 6.66, 54.53, 23.5, 7.57, 0.91, 13.6, 83.22, 79.95, 1.0
0, 7.77, 0.4, 5.85, 2, 51.53, 17, 4.66, 64.67, 89.38, 6.01, 0.3, 631.72, 35.58, 9.72, 1.0
1, 7.77, 80.18, 5.85, 2.33, 51.53, 16.67, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
2, 7.77, 80.18, 5.85, 2.66, 51.53, 16.34, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
3, 7.77, 80.18, 5.85, 2.98, 51.53, 16.02, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
4, 7.77, 80.18, 5.85, 3.3, 51.53, 15.7, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
5, 7.77, 80.18, 5.85, 3.61, 51.53, 15.39, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
